,patch,gameid,result,date,side,firstPick,top,jng,mid,bot,sup,ban1,ban2,ban3,ban4,ban5,opp_top,opp_jng,opp_mid,opp_bot,opp_sup
5110,16.4,NA1_5496914735,1,,Blue,1,Teemo,Zaahen,Katarina,Zeri,Lulu,Malphite,Master Yi,Yuumi,Galio,Twitch,Vladimir,Nocturne,Qiyana,Jhin,Thresh
5111,16.4,NA1_5496914735,0,,Red,0,Vladimir,Nocturne,Qiyana,Jhin,Thresh,Braum,Malphite,Viego,Yasuo,Anivia,Teemo,Zaahen,Katarina,Zeri,Lulu
5112,16.4,NA1_5501114332,0,,Blue,1,Teemo,Ivern,Tryndamere,Jhin,Janna,Shaco,Zaahen,Evelynn,Soraka,Zac,Ornn,Wukong,Orianna,Caitlyn,Thresh
5113,16.4,NA1_5501114332,1,,Red,0,Ornn,Wukong,Orianna,Caitlyn,Thresh,Nami,Irelia,Fiora,Briar,Ahri,Teemo,Ivern,Tryndamere,Jhin,Janna
5114,16.3,NA1_5495394234,0,,Blue,1,Akali,Talon,Vladimir,Varus,Nami,Zed,Lulu,Urgot,Thresh,,Jax,Ambessa,Katarina,Caitlyn,Lux
5115,16.3,NA1_5495394234,1,,Red,0,Jax,Ambessa,Katarina,Caitlyn,Lux,,Rengar,Yuumi,Zed,Galio,Akali,Talon,Vladimir,Varus,Nami
5116,16.4,NA1_5500527393,1,,Blue,1,Riven,Jayce,Viktor,Smolder,Nami,Twitch,Jax,Pyke,Renekton,,Zaahen,Shyvana,Mel,Ezreal,Taliyah
5117,16.4,NA1_5500527393,0,,Red,0,Zaahen,Shyvana,Mel,Ezreal,Taliyah,Sylas,Hecarim,Viego,Blitzcrank,Kayle,Riven,Jayce,Viktor,Smolder,Nami
5118,16.4,NA1_5495786300,0,,Blue,1,Renekton,Master Yi,Katarina,Miss Fortune,Thresh,Draven,Pyke,Irelia,Brand,Vladimir,Gwen,Rammus,Taliyah,Kai'Sa,Nami
5119,16.4,NA1_5495786300,1,,Red,0,Gwen,Rammus,Taliyah,Kai'Sa,Nami,Akali,LeBlanc,Brand,Malphite,Lulu,Renekton,Master Yi,Katarina,Miss Fortune,Thresh
5120,16.4,NA1_5502679067,0,,Blue,1,Kayle,Viego,Katarina,Miss Fortune,Karma,Kha'Zix,Blitzcrank,,Jax,Fizz,Rumble,Graves,LeBlanc,Smolder,Sona
5121,16.4,NA1_5502679067,1,,Red,0,Rumble,Graves,LeBlanc,Smolder,Sona,Malzahar,Twitch,Caitlyn,Kindred,Pyke,Kayle,Viego,Katarina,Miss Fortune,Karma
5122,16.4,NA1_5505144205,0,,Blue,1,Gnar,Xin Zhao,Twisted Fate,Kai'Sa,Leona,Morgana,,Mel,Darius,Yasuo,Nasus,Diana,Yone,Nilah,Janna
5123,16.4,NA1_5505144205,1,,Red,0,Nasus,Diana,Yone,Nilah,Janna,Smolder,Malphite,Lulu,Rengar,Vladimir,Gnar,Xin Zhao,Twisted Fate,Kai'Sa,Leona
5124,16.4,NA1_5503722234,1,,Blue,1,Sion,Graves,Karthus,Smolder,Nami,Darius,Aurelion Sol,Pyke,Zaahen,Akali,Aatrox,Kha'Zix,Sylas,Corki,Braum
5125,16.4,NA1_5503722234,0,,Red,0,Aatrox,Kha'Zix,Sylas,Corki,Braum,Diana,Kassadin,Malphite,,Gwen,Sion,Graves,Karthus,Smolder,Nami
5126,16.4,NA1_5502093619,0,,Blue,1,Maokai,Teemo,Katarina,Xayah,Hwei,Swain,Shaco,Yasuo,Kayle,Braum,Vladimir,Malphite,Naafiri,Vayne,Lulu
5127,16.4,NA1_5502093619,1,,Red,0,Vladimir,Malphite,Naafiri,Vayne,Lulu,Aphelios,Kha'Zix,Riven,Ahri,Sylas,Maokai,Teemo,Katarina,Xayah,Hwei
5128,16.4,NA1_5504946707,1,,Blue,1,Gwen,Zaahen,Akshan,Varus,Rakan,Kha'Zix,Yasuo,Ekko,Mel,Ambessa,Akali,Shaco,Xerath,Xayah,Pyke
5129,16.4,NA1_5504946707,0,,Red,0,Akali,Shaco,Xerath,Xayah,Pyke,Gangplank,Caitlyn,Sion,Talon,Diana,Gwen,Zaahen,Akshan,Varus,Rakan
5130,16.4,NA1_5500300992,0,,Blue,1,Sion,Talon,Aurelion Sol,Caitlyn,Thresh,Kha'Zix,Bel'Veth,Ambessa,Aatrox,Draven,Dr. Mundo,Shaco,Galio,Ezreal,Sona
5131,16.4,NA1_5500300992,1,,Red,0,Dr. Mundo,Shaco,Galio,Ezreal,Sona,Anivia,Pyke,Mel,Zaahen,Annie,Sion,Talon,Aurelion Sol,Caitlyn,Thresh
5132,16.4,NA1_5500636776,1,,Blue,1,Yone,Ivern,Lux,Kai'Sa,Karma,Lillia,Mel,Jinx,Zed,Nautilus,Aatrox,Darius,Ahri,Lucian,Nami
5133,16.4,NA1_5500636776,0,,Red,0,Aatrox,Darius,Ahri,Lucian,Nami,Master Yi,Anivia,Xayah,Zaahen,Brand,Yone,Ivern,Lux,Kai'Sa,Karma
5134,16.4,NA1_5501359061,1,,Blue,1,Ambessa,Viego,Orianna,Yasuo,Yuumi,Nilah,Twitch,Katarina,Graves,Shaco,Shen,Volibear,Dr. Mundo,Caitlyn,Janna
5135,16.4,NA1_5501359061,0,,Red,0,Shen,Volibear,Dr. Mundo,Caitlyn,Janna,Pyke,Leona,Master Yi,Fiora,Talon,Ambessa,Viego,Orianna,Yasuo,Yuumi
5136,16.4,NA1_5504220850,1,,Blue,1,Singed,Talon,Cassiopeia,Ezreal,Zilean,Braum,Zed,Zaahen,Ekko,Dr. Mundo,Mordekaiser,Master Yi,Malphite,Corki,Leona
5137,16.4,NA1_5504220850,0,,Red,0,Mordekaiser,Master Yi,Malphite,Corki,Leona,Sylas,Nocturne,Rengar,Evelynn,Gwen,Singed,Talon,Cassiopeia,Ezreal,Zilean
5138,16.4,NA1_5504315859,0,,Blue,1,Master Yi,Diana,Zed,Senna,Thresh,Kha'Zix,Sett,Rengar,Jinx,Viego,Darius,Xin Zhao,Irelia,Brand,Twisted Fate
5139,16.4,NA1_5504315859,1,,Red,0,Darius,Xin Zhao,Irelia,Brand,Twisted Fate,Pyke,Yasuo,Bel'Veth,Caitlyn,Braum,Master Yi,Diana,Zed,Senna,Thresh
5140,16.4,NA1_5500771653,1,,Blue,1,Teemo,Viego,Jayce,Varus,Taliyah,Braum,Nautilus,Zoe,Graves,Malphite,Irelia,Zaahen,Kennen,Jinx,Thresh
5141,16.4,NA1_5500771653,0,,Red,0,Irelia,Zaahen,Kennen,Jinx,Thresh,Viktor,Draven,Aphelios,Graves,,Teemo,Viego,Jayce,Varus,Taliyah
5142,16.4,NA1_5505188468,1,,Blue,1,Ambessa,Vi,Malzahar,Corki,Amumu,Aatrox,Rengar,Galio,Kha'Zix,Talon,Garen,Master Yi,Katarina,Vayne,Alistar
5143,16.4,NA1_5505188468,0,,Red,0,Garen,Master Yi,Katarina,Vayne,Alistar,Yasuo,Zyra,Caitlyn,Draven,Aatrox,Ambessa,Vi,Malzahar,Corki,Amumu
5144,16.4,NA1_5500830830,1,,Blue,1,Darius,Lee Sin,Hwei,Smolder,Poppy,Bel'Veth,LeBlanc,Thresh,Karma,Riven,Ryze,Ambessa,Sion,Corki,Lulu
5145,16.4,NA1_5500830830,0,,Red,0,Ryze,Ambessa,Sion,Corki,Lulu,Gwen,Jinx,Kassadin,Caitlyn,Kha'Zix,Darius,Lee Sin,Hwei,Smolder,Poppy
5146,16.4,NA1_5502195484,0,,Blue,1,Jax,Rengar,Ahri,Twitch,Seraphine,Ornn,Akali,Blitzcrank,Ambessa,Zilean,Renekton,Aatrox,Taliyah,Smolder,Karma
5147,16.4,NA1_5502195484,1,,Red,0,Renekton,Aatrox,Taliyah,Smolder,Karma,Katarina,Pyke,Lucian,Fiora,Yone,Jax,Rengar,Ahri,Twitch,Seraphine
5148,16.4,NA1_5504408958,0,,Blue,1,Jayce,Vi,Yasuo,Jhin,Hwei,Lissandra,Zaahen,Malphite,Renekton,Sivir,Darius,Fiddlesticks,Ahri,Senna,Leona
5149,16.4,NA1_5504408958,1,,Red,0,Darius,Fiddlesticks,Ahri,Senna,Leona,Blitzcrank,Kha'Zix,Mordekaiser,Karma,Zed,Jayce,Vi,Yasuo,Jhin,Hwei
5150,16.4,NA1_5504932822,1,,Blue,1,Shen,Nasus,Vex,Jinx,Seraphine,Twitch,Irelia,Fiddlesticks,Sylas,Kha'Zix,Yasuo,Rengar,Annie,Sivir,Kennen
5151,16.4,NA1_5504932822,0,,Red,0,Yasuo,Rengar,Annie,Sivir,Kennen,Briar,Zoe,Viktor,Rammus,Gwen,Shen,Nasus,Vex,Jinx,Seraphine
5152,16.4,NA1_5504333215,1,,Blue,1,Renekton,Rengar,Ahri,Caitlyn,Karma,Diana,Cho'Gath,Pyke,Rammus,Kassadin,Ornn,Xin Zhao,Katarina,Sivir,Nami
5153,16.4,NA1_5504333215,0,,Red,0,Ornn,Xin Zhao,Katarina,Sivir,Nami,Bel'Veth,Shen,Yuumi,Draven,,Renekton,Rengar,Ahri,Caitlyn,Karma
5154,16.4,NA1_5504612183,1,,Blue,1,Zaahen,Nocturne,Orianna,Nilah,Sona,Pyke,Lux,Caitlyn,Kha'Zix,Graves,Renekton,Zac,LeBlanc,Corki,Nami
5155,16.4,NA1_5504612183,0,,Red,0,Renekton,Zac,LeBlanc,Corki,Nami,Rengar,Briar,Shaco,Pyke,Malphite,Zaahen,Nocturne,Orianna,Nilah,Sona
5156,16.4,NA1_5504342218,1,,Blue,1,Darius,Diana,Kassadin,Senna,Tahm Kench,Master Yi,Braum,Thresh,,Graves,Riven,Naafiri,Tristana,Ziggs,Sona
5157,16.4,NA1_5504342218,0,,Red,0,Riven,Naafiri,Tristana,Ziggs,Sona,Kennen,Pyke,Ahri,Sylas,Gangplank,Darius,Diana,Kassadin,Senna,Tahm Kench
5158,16.4,NA1_5503695737,0,,Blue,1,Lee Sin,Bel'Veth,Ahri,Kai'Sa,Alistar,Azir,Rengar,Singed,Aatrox,Mel,Trundle,Warwick,Kassadin,Ezreal,Ornn
5159,16.4,NA1_5503695737,1,,Red,0,Trundle,Warwick,Kassadin,Ezreal,Ornn,Ambessa,Sylas,Zed,,Xin Zhao,Lee Sin,Bel'Veth,Ahri,Kai'Sa,Alistar
5160,16.4,NA1_5500514557,0,,Blue,1,Jax,Fiddlesticks,Syndra,Ezreal,Vel'Koz,Bel'Veth,Illaoi,Yuumi,Swain,Zed,Riven,Kayn,Viktor,Twitch,Bard
5161,16.4,NA1_5500514557,1,,Red,0,Riven,Kayn,Viktor,Twitch,Bard,Yasuo,Teemo,Blitzcrank,Kassadin,Diana,Jax,Fiddlesticks,Syndra,Ezreal,Vel'Koz
5162,16.4,NA1_5504449893,1,,Blue,1,Garen,Kha'Zix,Taliyah,Caitlyn,Karma,Ekko,,Draven,Jayce,Kassadin,Aatrox,Kayn,Talon,Yunara,Bard
5163,16.4,NA1_5504449893,0,,Red,0,Aatrox,Kayn,Talon,Yunara,Bard,Jarvan IV,Milio,LeBlanc,Yorick,Rengar,Garen,Kha'Zix,Taliyah,Caitlyn,Karma
5164,16.4,NA1_5500900633,0,,Blue,1,Alistar,Hecarim,Zoe,Caitlyn,Brand,Yasuo,Darius,Yuumi,,Rengar,Varus,Talon,Sylas,Ashe,Lulu
5165,16.4,NA1_5500900633,1,,Red,0,Varus,Talon,Sylas,Ashe,Lulu,Yasuo,Shaco,Fiddlesticks,Draven,Pyke,Alistar,Hecarim,Zoe,Caitlyn,Brand
5166,16.4,NA1_5500809207,0,,Blue,1,Garen,Kayn,Ahri,Ezreal,Sona,Zoe,Darius,Fiddlesticks,Rengar,Blitzcrank,Ornn,Ekko,Yasuo,Caitlyn,Neeko
5167,16.4,NA1_5500809207,1,,Red,0,Ornn,Ekko,Yasuo,Caitlyn,Neeko,Karma,Rengar,Fiora,,,Garen,Kayn,Ahri,Ezreal,Sona
5168,16.4,NA1_5503845838,0,,Blue,1,Rengar,Fizz,Yone,Smolder,Leona,Akali,Mordekaiser,Zyra,Darius,Yasuo,Jax,Bel'Veth,Veigar,Lucian,Neeko
5169,16.4,NA1_5503845838,1,,Red,0,Jax,Bel'Veth,Veigar,Lucian,Neeko,Kassadin,Jarvan IV,Sylas,Graves,Braum,Rengar,Fizz,Yone,Smolder,Leona
5170,16.3,NA1_5495352723,1,,Blue,1,Gwen,Ambessa,Talon,Zeri,Yuumi,Thresh,Garen,Zed,Bard,Lulu,Urgot,Lee Sin,Riven,Swain,Brand
5171,16.3,NA1_5495352723,0,,Red,0,Urgot,Lee Sin,Riven,Swain,Brand,Viego,,Graves,Morgana,Mel,Gwen,Ambessa,Talon,Zeri,Yuumi
5172,16.4,NA1_5503862489,0,,Blue,1,Singed,Kayn,Twisted Fate,Lux,Zoe,Talon,Nautilus,Mel,Aphelios,Urgot,Dr. Mundo,Zaahen,Veigar,Ezreal,Neeko
5173,16.4,NA1_5503862489,1,,Red,0,Dr. Mundo,Zaahen,Veigar,Ezreal,Neeko,Jinx,Caitlyn,Irelia,LeBlanc,Jax,Singed,Kayn,Twisted Fate,Lux,Zoe
5174,16.4,NA1_5496185764,1,,Blue,1,Yasuo,Hecarim,Sylas,Kai'Sa,Rakan,Nami,Katarina,Malphite,Master Yi,Zed,Mordekaiser,Graves,Annie,Xayah,Lulu
5175,16.4,NA1_5496185764,0,,Red,0,Mordekaiser,Graves,Annie,Xayah,Lulu,Diana,Thresh,Varus,Caitlyn,Lux,Yasuo,Hecarim,Sylas,Kai'Sa,Rakan
5176,16.4,NA1_5504016881,0,,Blue,1,Zaahen,Kha'Zix,Ahri,Ezreal,Bard,Briar,Sylas,Malphite,Shaco,Lulu,Renekton,Nunu & Willump,Yone,Kai'Sa,Brand
5177,16.4,NA1_5504016881,1,,Red,0,Renekton,Nunu & Willump,Yone,Kai'Sa,Brand,Bel'Veth,Braum,Malphite,Akali,Sylas,Zaahen,Kha'Zix,Ahri,Ezreal,Bard
5178,16.4,NA1_5504761729,1,,Blue,1,Sett,Lee Sin,Katarina,Varus,Seraphine,Nilah,Pyke,Kindred,K'Sante,Akali,Yone,Jarvan IV,Viktor,Sivir,Milio
5179,16.4,NA1_5504761729,0,,Red,0,Yone,Jarvan IV,Viktor,Sivir,Milio,Riven,Twitch,Viego,Caitlyn,Syndra,Sett,Lee Sin,Katarina,Varus,Seraphine
5180,16.4,NA1_5501762858,0,,Blue,1,Kennen,Jarvan IV,Sylas,Caitlyn,Senna,Mel,Zac,Aurora,Ambessa,Pyke,Singed,Qiyana,Twisted Fate,Ezreal,Seraphine
5181,16.4,NA1_5501762858,1,,Red,0,Singed,Qiyana,Twisted Fate,Ezreal,Seraphine,Rengar,Katarina,Riven,Yasuo,Irelia,Kennen,Jarvan IV,Sylas,Caitlyn,Senna
5182,16.4,NA1_5499745336,0,,Blue,1,Renekton,Sylas,Vladimir,Aphelios,Soraka,Twitch,Nautilus,,Zoe,Lee Sin,Sion,Karthus,Orianna,Senna,Swain
5183,16.4,NA1_5499745336,1,,Red,0,Sion,Karthus,Orianna,Senna,Swain,Shaco,Kha'Zix,Neeko,Pyke,Aatrox,Renekton,Sylas,Vladimir,Aphelios,Soraka
5184,16.4,NA1_5503849745,1,,Blue,1,Volibear,Zaahen,Taliyah,Xayah,Fiddlesticks,Jax,Zed,Caitlyn,Ashe,Graves,Akali,Naafiri,Ekko,Jhin,Bard
5185,16.4,NA1_5503849745,0,,Red,0,Akali,Naafiri,Ekko,Jhin,Bard,Rek'Sai,Viego,Caitlyn,Fiora,Rengar,Volibear,Zaahen,Taliyah,Xayah,Fiddlesticks
5186,16.4,NA1_5498046425,0,,Blue,1,Volibear,Jax,Katarina,Aphelios,Maokai,Malphite,,Zed,Lulu,Akali,Cho'Gath,Wukong,Master Yi,Veigar,Blitzcrank
5187,16.4,NA1_5498046425,1,,Red,0,Cho'Gath,Wukong,Master Yi,Veigar,Blitzcrank,Ahri,Gwen,Malphite,Ezreal,Evelynn,Volibear,Jax,Katarina,Aphelios,Maokai
5188,16.4,NA1_5504323823,1,,Blue,1,Akali,Kha'Zix,Vel'Koz,Twitch,Sona,Lee Sin,Caitlyn,Nocturne,Master Yi,Elise,Mordekaiser,Viego,Qiyana,Ezreal,Karma
5189,16.4,NA1_5504323823,0,,Red,0,Mordekaiser,Viego,Qiyana,Ezreal,Karma,Pyke,Nami,Syndra,Malphite,Braum,Akali,Kha'Zix,Vel'Koz,Twitch,Sona
5190,16.4,NA1_5502144803,0,,Blue,1,Volibear,Diana,Shen,Nilah,Fiddlesticks,Azir,Vayne,Gwen,Dr. Mundo,Soraka,Mordekaiser,Talon,Taliyah,Varus,Seraphine
5191,16.4,NA1_5502144803,1,,Red,0,Mordekaiser,Talon,Taliyah,Varus,Seraphine,Gwen,Fiora,Kha'Zix,Yasuo,Xerath,Volibear,Diana,Shen,Nilah,Fiddlesticks
5192,16.4,NA1_5505320739,0,,Blue,1,Fizz,Master Yi,Jarvan IV,Aurelion Sol,Leona,Yasuo,Jax,Caitlyn,Zed,Dr. Mundo,Darius,Shen,Smolder,Vayne,Braum
5193,16.4,NA1_5505320739,1,,Red,0,Darius,Shen,Smolder,Vayne,Braum,Zed,Gwen,Kha'Zix,Varus,Twitch,Fizz,Master Yi,Jarvan IV,Aurelion Sol,Leona
5194,16.4,NA1_5500571469,1,,Blue,1,Urgot,Zyra,Yasuo,Ashe,Sona,Caitlyn,Braum,Ekko,,Mordekaiser,Singed,Kayn,LeBlanc,Mel,Shen
5195,16.4,NA1_5500571469,0,,Red,0,Singed,Kayn,LeBlanc,Mel,Shen,Braum,Kayle,Master Yi,Nami,Diana,Urgot,Zyra,Yasuo,Ashe,Sona
5196,16.4,NA1_5502714627,1,,Blue,1,Irelia,Nunu & Willump,Twisted Fate,Senna,Nautilus,Caitlyn,Lulu,Yasuo,Zaahen,Mel,Malphite,Talon,Diana,Jhin,Pyke
5197,16.4,NA1_5502714627,0,,Red,0,Malphite,Talon,Diana,Jhin,Pyke,Master Yi,Akshan,Mordekaiser,Vladimir,Kai'Sa,Irelia,Nunu & Willump,Twisted Fate,Senna,Nautilus
5198,16.4,NA1_5505326339,1,,Blue,1,Malphite,Lee Sin,LeBlanc,Caitlyn,Karma,Smolder,Fiddlesticks,Zaahen,Yasuo,Jax,Irelia,Nunu & Willump,Tristana,Seraphine,Thresh
5199,16.4,NA1_5505326339,0,,Red,0,Irelia,Nunu & Willump,Tristana,Seraphine,Thresh,,,Vayne,Shaco,Ahri,Malphite,Lee Sin,LeBlanc,Caitlyn,Karma
5200,16.4,NA1_5503506862,0,,Blue,1,Volibear,Warwick,Irelia,Lucian,Nami,Pyke,Blitzcrank,Jax,Kha'Zix,Zed,Trundle,Fiddlesticks,Kai'Sa,Caitlyn,Bard
5201,16.4,NA1_5503506862,1,,Red,0,Trundle,Fiddlesticks,Kai'Sa,Caitlyn,Bard,Thresh,LeBlanc,Mel,Kha'Zix,Riven,Volibear,Warwick,Irelia,Lucian,Nami
5202,16.4,NA1_5504789536,0,,Blue,1,Wukong,Graves,Qiyana,Hwei,Seraphine,Illaoi,Zed,,Kassadin,Braum,Irelia,Shyvana,Mel,Sivir,Thresh
5203,16.4,NA1_5504789536,1,,Red,0,Irelia,Shyvana,Mel,Sivir,Thresh,Aatrox,Renekton,Evelynn,Naafiri,Zed,Wukong,Graves,Qiyana,Hwei,Seraphine
5204,16.4,NA1_5496444334,1,,Blue,1,Dr. Mundo,Nunu & Willump,Ekko,Jhin,Brand,Kassadin,Ambessa,Pyke,Draven,Aatrox,Shen,Wukong,Vladimir,Yasuo,Nami
5205,16.4,NA1_5496444334,0,,Red,0,Shen,Wukong,Vladimir,Yasuo,Nami,Ryze,Rengar,Diana,Aphelios,Gwen,Dr. Mundo,Nunu & Willump,Ekko,Jhin,Brand
5206,16.4,NA1_5503903040,0,,Blue,1,Aatrox,Kayn,Galio,Jhin,Vel'Koz,Yasuo,Twitch,Tryndamere,Caitlyn,Morgana,Teemo,Shyvana,Jayce,Ezreal,Poppy
5207,16.4,NA1_5503903040,1,,Red,0,Teemo,Shyvana,Jayce,Ezreal,Poppy,Ryze,Ekko,Zed,Lux,Draven,Aatrox,Kayn,Galio,Jhin,Vel'Koz
5208,16.4,NA1_5503676899,1,,Blue,1,Warwick,Lee Sin,LeBlanc,Corki,Ekko,Naafiri,Aatrox,Morgana,Draven,Vex,Gnar,Vi,Veigar,Twitch,Elise
5209,16.4,NA1_5503676899,0,,Red,0,Gnar,Vi,Veigar,Twitch,Elise,Ahri,Draven,Yorick,Ambessa,Master Yi,Warwick,Lee Sin,LeBlanc,Corki,Ekko
5210,16.3,NA1_5495432467,0,,Blue,1,Rek'Sai,Vi,Twisted Fate,Ezreal,Nami,Briar,Kindred,Mel,Twitch,Camille,K'Sante,Lee Sin,Yasuo,Veigar,Elise
5211,16.3,NA1_5495432467,1,,Red,0,K'Sante,Lee Sin,Yasuo,Veigar,Elise,Lulu,Urgot,Akali,Poppy,Varus,Rek'Sai,Vi,Twisted Fate,Ezreal,Nami
5212,16.4,NA1_5499990357,1,,Blue,1,Fiora,Kai'Sa,Akali,Ezreal,Nami,Caitlyn,Kennen,Malzahar,,,Sett,Karthus,Galio,Twitch,Lulu
5213,16.4,NA1_5499990357,0,,Red,0,Sett,Karthus,Galio,Twitch,Lulu,Talon,Gwen,Braum,Smolder,Mel,Fiora,Kai'Sa,Akali,Ezreal,Nami
5214,16.4,NA1_5505278020,0,,Blue,1,Ornn,Xin Zhao,Yasuo,Ezreal,Zyra,Bard,Hecarim,Kha'Zix,Zoe,Fiora,Singed,Viego,Ahri,Yunara,Milio
5215,16.4,NA1_5505278020,1,,Red,0,Singed,Viego,Ahri,Yunara,Milio,Ekko,Elise,Draven,Ambessa,Kayle,Ornn,Xin Zhao,Yasuo,Ezreal,Zyra
5216,16.4,NA1_5503984698,0,,Blue,1,Ornn,Jarvan IV,Irelia,Ezreal,Zilean,,Dr. Mundo,Zaahen,Viktor,Lee Sin,Nasus,Kindred,Katarina,Smolder,Lux
5217,16.4,NA1_5503984698,1,,Red,0,Nasus,Kindred,Katarina,Smolder,Lux,Nautilus,Fizz,Akali,Yasuo,Yuumi,Ornn,Jarvan IV,Irelia,Ezreal,Zilean
5218,16.4,NA1_5502357501,0,,Blue,1,Gangplank,Briar,Fizz,Yunara,Milio,Viktor,Gwen,Draven,Kha'Zix,Braum,Fiora,Kayn,Kassadin,Ashe,Seraphine
5219,16.4,NA1_5502357501,1,,Red,0,Fiora,Kayn,Kassadin,Ashe,Seraphine,Master Yi,Senna,Zac,Sivir,Ambessa,Gangplank,Briar,Fizz,Yunara,Milio
5220,16.4,NA1_5503898290,0,,Blue,1,Zaahen,Nidalee,Lissandra,Yasuo,Leona,Mel,Zac,Fiora,Zilean,Bel'Veth,Veigar,Olaf,Jhin,Vladimir,Milio
5221,16.4,NA1_5503898290,1,,Red,0,Veigar,Olaf,Jhin,Vladimir,Milio,Nunu & Willump,Zed,Mel,Gangplank,Caitlyn,Zaahen,Nidalee,Lissandra,Yasuo,Leona
5222,16.4,NA1_5500785682,1,,Blue,1,Aatrox,Diana,Yasuo,Caitlyn,Nami,Naafiri,Braum,Leona,Bel'Veth,Lissandra,Vladimir,Brand,Yone,Ezreal,Thresh
5223,16.4,NA1_5500785682,0,,Red,0,Vladimir,Brand,Yone,Ezreal,Thresh,Nasus,Kayn,Malphite,Twitch,Zoe,Aatrox,Diana,Yasuo,Caitlyn,Nami
5224,16.4,NA1_5501723008,1,,Blue,1,Zaahen,Lee Sin,Syndra,Jinx,Braum,Sylas,Mel,Pyke,Urgot,Naafiri,Irelia,Diana,Xerath,Lucian,Nami
5225,16.4,NA1_5501723008,0,,Red,0,Irelia,Diana,Xerath,Lucian,Nami,Viego,Thresh,Malphite,Tryndamere,Ahri,Zaahen,Lee Sin,Syndra,Jinx,Braum
5226,16.4,NA1_5501788716,0,,Blue,1,Zaahen,Talon,Syndra,Sivir,Morgana,Rengar,Veigar,Aatrox,Ezreal,Nilah,Volibear,Ambessa,Lux,Vayne,Thresh
5227,16.4,NA1_5501788716,1,,Red,0,Volibear,Ambessa,Lux,Vayne,Thresh,Lillia,Kayn,Caitlyn,Varus,Hecarim,Zaahen,Talon,Syndra,Sivir,Morgana
5228,16.4,NA1_5505084216,1,,Blue,1,Aatrox,Viego,Ahri,Kai'Sa,Leona,Caitlyn,Zed,Malphite,Kha'Zix,Varus,Poppy,Yone,Zoe,Jinx,Taric
5229,16.4,NA1_5505084216,0,,Red,0,Poppy,Yone,Zoe,Jinx,Taric,Fiora,Jax,Neeko,Naafiri,Master Yi,Aatrox,Viego,Ahri,Kai'Sa,Leona
5230,16.4,NA1_5504066338,0,,Blue,1,Ambessa,Kha'Zix,Riven,Miss Fortune,Elise,Graves,Jax,Diana,Viktor,Akali,Zed,Naafiri,Zaahen,Swain,Zyra
5231,16.4,NA1_5504066338,1,,Red,0,Zed,Naafiri,Zaahen,Swain,Zyra,Renekton,Ahri,Nasus,Rengar,Malphite,Ambessa,Kha'Zix,Riven,Miss Fortune,Elise
5232,16.4,NA1_5503833657,0,,Blue,1,Warwick,Zaahen,Katarina,Ezreal,Zyra,Samira,Vayne,Gwen,Cassiopeia,Ekko,Aatrox,Jarvan IV,Mel,Ashe,Thresh
5233,16.4,NA1_5503833657,1,,Red,0,Aatrox,Jarvan IV,Mel,Ashe,Thresh,Viego,Milio,Caitlyn,Malphite,Naafiri,Warwick,Zaahen,Katarina,Ezreal,Zyra
5234,16.4,NA1_5505259089,0,,Blue,1,Shen,Kayn,Yone,Vayne,Morgana,Blitzcrank,Gwen,Aurelion Sol,,Illaoi,Kled,Master Yi,Ahri,Jhin,Sona
5235,16.4,NA1_5505259089,1,,Red,0,Kled,Master Yi,Ahri,Jhin,Sona,Kha'Zix,Aphelios,Rengar,Yasuo,Irelia,Shen,Kayn,Yone,Vayne,Morgana
5236,16.4,NA1_5504707646,0,,Blue,1,Yone,Viego,Fizz,Nilah,Pyke,Malphite,Xayah,Nautilus,Jax,Lissandra,Olaf,Zac,LeBlanc,Corki,Nami
5237,16.4,NA1_5504707646,1,,Red,0,Olaf,Zac,LeBlanc,Corki,Nami,Ekko,Master Yi,Kha'Zix,Rengar,Teemo,Yone,Viego,Fizz,Nilah,Pyke
5238,16.4,NA1_5504893510,1,,Blue,1,Darius,Zyra,Kassadin,Olaf,Shaco,Briar,Ornn,Karma,Yasuo,Diana,Vayne,Zac,Viktor,Varus,Morgana
5239,16.4,NA1_5504893510,0,,Red,0,Vayne,Zac,Viktor,Varus,Morgana,Bel'Veth,Sivir,Malphite,Akali,Leona,Darius,Zyra,Kassadin,Olaf,Shaco
5240,16.4,NA1_5504368155,0,,Blue,1,Jayce,Cho'Gath,Karthus,Jinx,Milio,Nautilus,Akali,,Twitch,Graves,Sion,Master Yi,Zed,Seraphine,Thresh
5241,16.4,NA1_5504368155,1,,Red,0,Sion,Master Yi,Zed,Seraphine,Thresh,Mel,Kha'Zix,Diana,Nautilus,Olaf,Jayce,Cho'Gath,Karthus,Jinx,Milio
5242,16.4,NA1_5499798724,1,,Blue,1,Jax,Kayn,Teemo,Tristana,Karma,Naafiri,Pyke,Ambessa,Braum,Lee Sin,Kayle,Zaahen,Rumble,Miss Fortune,Milio
5243,16.4,NA1_5499798724,0,,Red,0,Kayle,Zaahen,Rumble,Miss Fortune,Milio,Sylas,Malphite,Zac,Hwei,Ambessa,Jax,Kayn,Teemo,Tristana,Karma
5244,16.4,NA1_5497381249,0,,Blue,1,Rumble,Cho'Gath,Ryze,Tristana,Soraka,Ekko,Shaco,Braum,Rengar,Malzahar,Vladimir,Udyr,Kassadin,Katarina,Yuumi
